skill,total_vacancies,avg_weekly_vacancies,avg_salary,high_demand_weeks
javascript,135,45.0,368604.6336996337,3
sql,104,34.666666666666664,556579.6296296297,3
php,100,33.333333333333336,420791.31944444444,2
js,89,29.666666666666668,373762.5,1
java,82,27.333333333333332,514148.4330484331,2
react,81,27.0,478987.73252890893,2
python,66,22.0,655777.7777777779,2
mysql,60,20.0,464324.5726495727,1
docker,48,16.0,832306.0606060605,3
git,46,15.333333333333334,495819.44444444444,1
postgresql,44,14.666666666666666,635714.2857142858,2
c#,44,14.666666666666666,388715.4761904762,1
linux,44,14.666666666666666,491320.0,1
spring,43,14.333333333333334,538238.0952380953,0
vue,42,14.0,426460.9523809524,1
typescript,39,13.0,589700.0,2
figma,33,11.0,298207.1428571429,1
oracle,33,11.0,587500.0,1
excel,31,10.333333333333334,223571.42857142855,0
kotlin,27,9.0,567666.6666666666,2
django,24,8.0,938333.3333333334,2
angular,20,6.666666666666667,182000.0,0
kubernetes,20,6.666666666666667,887500.0,2
golang,18,6.0,511555.55555555556,0
swift,17,5.666666666666667,1000.0,0
node.js,16,5.333333333333333,362111.11111111107,0
redis,16,5.333333333333333,883583.3333333334,1
jira,14,4.666666666666667,0.0,0
go,12,4.0,383333.3333333333,0
c++,12,4.0,200000.0,0
