year_week,year,week,skill,vacancy_count,avg_salary,unique_cities,unique_employers,has_salary_ratio,vacancy_score,salary_score,employer_score,geo_score,growth_score,competition_score,demand_index,demand_level,month,quarter,skill_encoded,vacancy_count_lag1,vacancy_count_lag2,vacancy_count_lag3,vacancy_count_lag4,vacancy_count_rolling_2,vacancy_count_rolling_4,vacancy_count_rolling_8,skill_avg_vacancies,skill_std_vacancies,skill_max_vacancies,skill_min_vacancies,skill_avg_salary,skill_avg_employers,vacancy_growth,is_growing
2025_W01,2025,1,angular,3,500000.0,2,3,0.3333333333333333,0.046511627906976744,0.5555543209903978,0.36857766629741234,0.2222222222222222,0.5,0.6785714285714286,0.3482080836436694,2,1,1,0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,0.0,0
2025_W46,2025,46,angular,2,0.0,1,2,0.0,0.023255813953488372,0.5,0.29209088984235726,0.1111111111111111,0.375,0.7142857142857142,0.29583006020208263,1,12,4,0,3.0,0.0,0.0,0.0,2.5,2.5,2.5,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,-0.33333333333333337,0
2025_W47,2025,47,angular,4,0.0,1,4,0.0,0.06976744186046512,0.5,0.4279054192619903,0.1111111111111111,0.8333333333333333,0.657142857142857,0.3702747756061682,2,12,4,0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,1.0,1
2025_W48,2025,48,angular,2,0.0,2,2,0.0,0.023255813953488372,0.5,0.29209088984235726,0.2222222222222222,0.3,0.7142857142857142,0.29944117131319375,1,13,4,0,4.0,2.0,3.0,0.0,3.0,2.75,2.75,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,-0.5,0
2025_W49,2025,49,angular,4,225000.0,1,4,0.25,0.06976744186046512,0.249999444445679,0.4279054192619903,0.1111111111111111,0.8333333333333333,0.657142857142857,0.307774636717588,1,13,4,0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,1.0,1
2025_W50,2025,50,angular,1,0.0,1,1,0.0,0.0,0.5,0.18428883314870617,0.1111111111111111,0.2,0.7857142857142857,0.2623258646548456,0,13,4,0,4.0,2.0,4.0,2.0,2.5,2.75,2.6666666666666665,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,-0.75,0
2025_W51,2025,51,angular,3,0.0,1,3,0.0,0.046511627906976744,0.5,0.36857766629741234,0.1111111111111111,1.0,0.6785714285714286,0.37320839228495883,2,13,4,0,1.0,4.0,2.0,4.0,2.0,2.5,2.7142857142857144,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,2.0,1
2025_W52,2025,52,angular,2,425000.0,2,2,1.0,0.023255813953488372,0.4722211728418381,0.29209088984235726,0.2222222222222222,0.375,0.7142857142857142,0.29999646452365325,1,14,5,0,3.0,1.0,4.0,2.0,2.5,2.5,2.625,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,-0.33333333333333337,0
2026_W01,2026,1,angular,2,283750.0,2,2,1.0,0.023255813953488372,0.3152770771620508,0.29209088984235726,0.2222222222222222,0.5,0.7142857142857142,0.27326044060370647,0,1,1,0,2.0,3.0,1.0,4.0,2.0,2.0,2.5,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,0.0,0
2026_W02,2026,2,angular,2,600000.0,1,2,0.5,0.023255813953488372,0.6666651851884774,0.29209088984235726,0.1111111111111111,0.5,0.7142857142857142,0.349996356499202,2,1,1,0,2.0,2.0,3.0,1.0,2.0,2.25,2.5,3.130434782608696,1.217461883894185,6,1,304375.0,3.0,0.0,0
